# SID being used , EQ/NEQ/HAS/ADD/USE, APPLIED/TEST SID, QTY, keep/discard (SID being used) after use, response message
# USE - use APPLIED with QTY
# ADD - add QTY to APPLIED qty and show message
# HAS - show message if (QTY=0 and TEST not in inventory) or (QTY=1 and TEST in inventory)
# EQ  - show message if TEST qty = QTY
# NEQ - show message if TEST qty != QTY
# no further checks are done once a match is made (action/response of first match is used)
NOTHING          , EQ  , NOTHING        ,   0, keep   , "Not usable."
NOTHING          , NEQ , NOTHING        ,   0, keep   , "Not usable."
MEDIKIT50        , EQ  , HP             , MAX, keep   , "Not needed. Health at max."
MEDIKIT50        , ADD , HP             , P50, discard, "Used Medikit +50"
MEDIKIT100       , EQ  , HP             , MAX, keep   , "Not needed. Health at max."
MEDIKIT100       , ADD , HP             , MAX, discard, "Used Medikit +100"
SHOTGUN          , USE , SHOTGUN        ,   0, keep   , "SHOTGUN is equipped"
SGAMMO           , HAS , SHOTGUN        ,   0, keep   , "Unable to use. SHOTGUN required."
SGAMMO           , EQ  , SHOTGUN        , MAX, keep   , "Unable to use. SHOTGUN at max."
SGAMMO           , ADD , SHOTGUN        , MAX, discard, "Loaded SHOTGUN AMMO"
HANDGUN          , USE , HANDGUN        ,   0, keep   , "HANDGUN is equipped"
HGAMMO           , HAS , HANDGUN        ,   0, keep   , "Unable to use. HANDGUN required."
HGAMMO           , EQ  , HANDGUN        , MAX, keep   , "Unable to use. HANDGUN at max."
HGAMMO           , ADD , HANDGUN        , MAX, discard, "Loaded HANGUN AMMO"
MACHINEGUN       , USE , MACHINEGUN     ,   0, keep   , "MACHINE GUN is equipped"
MGAMMO           , HAS , MACHINEGUN     ,   0, keep   , "Unable to use. MACHINE GUN required."
MGAMMO           , EQ  , MACHINEGUN     , MAX, keep   , "Unable to use. MACHINE GUN at max."
MGAMMO           , ADD , MACHINEGUN     , MAX, discard, "Loaded MACHINE GUN AMMO"
MAGNUM           , USE , MAGNUM         ,   0, keep   , "MAGNUM is equipped"
MAAMMO           , HAS , MAGNUM         ,   0, keep   , "Unable to use. MAGNUM required."
MAAMMO           , ADD , MAGNUM         , MAX, keep   , "Unable to use. MAGNUM at max."
MAAMMO           , ADD , MAGNUM         , MAX, discard, "Loaded MAGNUM ROUNDS"
GREENCARD        , HAS , GREENCARD      ,   1, keep   , "Cards are scanned automatically near doors."
BLUECARD         , HAS , BLUECARD       ,   1, keep   , "Cards are scanned automatically near doors."
YELLOWCARD       , HAS , YELLOWCARD     ,   1, keep   , "Cards are scanned automatically near doors."
WHITECARD        , HAS , WHITECARD      ,   1, keep   , "Cards are scanned automatically near doors."
REDCARD          , HAS , REDCARD        ,   1, keep   , "Cards are scanned automatically near doors."
MYSTERYMEAT      , HAS , MYSTERYMEAT    ,   1, keep   , "Larry declines to eat the mystery meat."
CHEMICAL409      , HAS , CHEMICAL409    ,   1, keep   , "Larry doesn't feel like cleaning today."
CHEMICAL410      , EQ  , CALLBACK       ,   0, keep   , "I can't use this here."
CHEMICAL410      , USE , CHEMICAL410    ,   1, discard, "Used Chemical 410"
JANITORNOTE      , HAS , JANITORNOTE    ,   1, keep   , "Not usable."
WALKIETALKIE     , USE , WALKIETALKIE   ,   0, keep   , ""
ELEVATORMENU     , USE , ELEVATORMENU   ,   1, keep   , ""
NOVAHEART        , HAS , NOVAHEART      ,   1, keep   , "Used automatically when health drops."
BLOCKOFDOOM      , HAS , BLOCKOFDOOM    ,   1, keep   , "Used automatically when ammo drops."
POWEREDARMOR     , HAS , POWEREDARMOR   ,   1, keep   , "Used automatically."
QUADDAMAGE       , HAS , QUADDAMAGE     ,   1, keep   , "Used automatically when firing."
WHITECARD1       , HAS , WHITECARD1     ,   1, keep   , "Unable to use. Card is broken."
WHITECARD2       , HAS , WHITECARD2     ,   1, keep   , "Unable to use. Card is broken."
FLASHLIGHTNOBAT  , HAS , FLASHLIGHTNOBAT,   1, keep   , "Unable to use. Missing batteries."
FLASHLIGHT       , HAS , FLASHLIGHT     ,   1, keep   , "Area already lit. Larry declines to waste battery power."
FLASHLIGHT       , USE , FLASHLIGHT     ,   1, keep   , "Activated flashlight."
BATTERIES        , HAS , BATTERIES      ,   1, keep   , "Not usable by itself."

# NOTHING        , ""                        , "I can't use nothing."
# GRENADE        , "GRENADE is ignited"      , "Can't use. I can only handle one at a time."
# WALKIETALKIE   , "trolling with barney"    , "I can't use this. I've trolled with Barney for long-enough. (use batteries from walky talky for flashlight?)"
# LIGHTER        , "LIGHTER is equipped"     , ""
# MOLOTOV        , "MOLOTOV is ignited"      , "I need a lighter to use this."
# WINEBOTTLE     , ""                        , "I don't like wine."
# NAPKIN         , ""                        , "There is no use for this here."
# SODACAN        , "SODA CAN is equipeed"    , "I'm not drinking this after what happened to Steve."
# LEADPIPE       , "LEAD PIPE is equipped"   , "drop on gears"
# TRAMPOLINE     , "TRAMPOLINE is placed"    , "jump up to higher places"
# GLASSJAR       , ""                        , ""
# STYROPEANUTS   , ""                        , ""
# WD40           , "OIL LUBRICANT SPRAY"     , ""
# CHARCOALSTICK  , "Used CHARCOAL STICK"     , "There is no use for this here.", "put janitornote on engraved table, rub with charcoal stick"
